title,neg_pct
"\"I've wasted enough of my viewers' time.\" Tapper shuts down unhinged Stephen Miller",1.0
#CorkerKickBack Trends After Last-Minute Tax Giveaway Benefiting GOP Lawmakers Exposed,1.0
#TrumpShutdown becomes top trending hashtag worldwide,1.0
'A weapon of desperation': Trump loyalists are doubling down on a familiar strategy as the Russia probe reaches a boiling point,1.0
'An impending dictatorship': C-SPAN caller challenges Gorka,1.0
"'Hamilton' actor responds to Trump: \"Conversation is not harassment.\"",1.0
'I am enraged': Father of Parkland shooting victim blasts the listening session Trump held with mass-shooting survivors,1.0
'I think he is behind it': Trump suggests Obama is organizing protests against him,0.0
'Is he confused or are you confused?': Sean Spicer grilled by reporters in heated exchange over Trump's travel ban,1.0
"'On behalf of Democrats, we are disgusted', Rep. McGovern says about health-care bill",1.0
"141 days in, Trump's still talking about his election win",1.0
1:40pm - San Francisco is suing President Donald Trump,1.0
2 major new polls show Trump will conclude his first 100 days as the least popular president in modern history,1.0
43 arrested in ObamaCare repeal protests at Capitol,1.0
7 Reasons the Russia controversy just got much worse for Trump,1.0
89% of readers say ‘No parade’,1.0
90% of Teachers See Negative Trump Effect in Schools,1.0
A majority of Americans are embarrassed by President Trump,1.0
A timeline of events that unfolded during the election appears to support the FBI's investigation into Trump-Russia collusion,0.0
A white supremacist slew a man in Manhattan. Why is the president silent?,0.0
ABC’s Flynn-Trump Report Caused Panic In The Stock Market — Then They Corrected The Story,1.0
AP projects Donald Trump wins 2016 US Presidential Election - Magathread,1.0
"After Comey firing, top Dems want Russia documents kept from White House",1.0
"After news breaks that FBI deputy director to retire, Trump unloads",1.0
Airbnb cancels far-right accounts before Virginia rally,1.0
Al Franken: Jeff Sessions lied during AG confirmation hearing,1.0
Alabama certifies Jones Senate victory,0.0
Alec Baldwin offers to play inauguration of Trump: 'I wanna sing Highway to Hell',1.0
Americans Will March in the Streets in 48 U.S. States If Trump Fires Robert Mueller,1.0
Anderson Cooper mocks Trump’s claim that news anchors sent him letters of praise,1.0
Apparent Trump legal defense fund uncovered,1.0
Apprentice Creators Say 'Trump the Billionaire Tycoon' Was a Myth Created for His Reality Series,1.0
Argentine leader: Ivanka joined my call with Trump,0.5
Arpaio Pardon Would Show Contempt for Constitution,0.0
Artist behind anti-Trump billboard in Arizona reports death threats,1.0
"As U.S. Retires From World Leadership, China and Germany Step Up",0.0
Associate in Hillary Clinton Uranium One Russian Bribery Case Indicted,1.0
At Least 6 White House Advisers Used Private Email Accounts,1.0
"At The 2013 Miss Universe Contest, Trump Met Some of Russia's Rich and Powerful",0.0
"At White House, Trump tells congressional leaders 3-5 million illegal ballots cost him the popular vote",1.0
Author of ‘Why Competitive Elections Are Bad for America’ is Trump's top pick for Census job: report,1.0
Backlash against Trumpcare erupts across heartland,1.0
Bannon called Trump ‘an 11-year-old child’: report,1.0
Barack Obama is now viewed more positively than Ronald Reagan was in 1988,0.0
Barack Obama urges world to stand against ‘aggressive’ nationalism,1.0
